#bin	frequency	peak0	peak1	peak2	peak3	peak4	peak5
0.05051	5.2726194969e-17	5.27261948946e-17	7.43699864922e-26	1.46058517293e-73	8.59049659027e-145	1.49405285032e-243	0.0
0.05101	5.76799405655e-17	5.76799404863e-17	7.92449336638e-26	1.62156381833e-73	9.93786997623e-145	1.80386176482e-243	0.0
0.05151	6.30933002757e-17	6.30933001912e-17	8.44367667031e-26	1.8002279005e-73	1.14962086053e-144	2.17784431691e-243	0.0
0.05201	6.90083675064e-17	6.90083674164e-17	8.99659081388e-26	1.99851409691e-73	1.32984873987e-144	2.62927912716e-243	0.0
0.05251	7.54710392125e-17	7.54710391167e-17	9.58540851614e-26	2.21857047305e-73	1.53828264884e-144	3.17418943205e-243	0.0
0.05301	8.2531354814e-17	8.25313547118e-17	1.02124412222e-25	2.46277947953e-73	1.77932926474e-144	3.83190976834e-243	0.0
0.05351	9.02438648754e-17	9.02438647666e-17	1.08801478811e-25	2.73378344269e-73	2.05808253338e-144	4.6257695349e-243	0.0
0.05401	9.86680321248e-17	9.86680320089e-17	1.15911442743e-25	3.03451281826e-73	2.38043066921e-144	5.58391751154e-243	0.0
0.05451	1.07868667602e-16	1.07868667479e-16	1.23482129278e-25	3.36821750658e-73	2.753179785e-144	6.74031636997e-243	0.0
0.05501	1.17916404973e-16	1.17916404842e-16	1.31543136467e-25	3.73850155994e-73	3.184196731e-144	8.13594218644e-243	0.0
0.05551	1.2888821629e-16	1.2888821615e-16	1.40125947067e-25	4.14936164828e-73	3.68257412323e-144	9.82023116759e-243	0.0
0.05601	1.40867972777e-16	1.40867972628e-16	1.49264047481e-25	4.60522968896e-73	4.25882100158e-144	1.18528244838e-242	0.0
0.05651	1.53947054498e-16	1.53947054339e-16	1.58993054115e-25	5.11102008968e-73	4.92508309134e-144	1.43056725699e-242	0.0
0.05701	1.68225013114e-16	1.68225012944e-16	1.69350847639e-25	5.67218210225e-73	5.69539725644e-144	1.72655728702e-242	0.0
0.05751	1.83810292276e-16	1.83810292095e-16	1.80377715632e-25	6.29475783816e-73	6.58598544282e-144	2.08372302109e-242	0.0
0.05801	2.00821010591e-16	2.00821010399e-16	1.92116504126e-25	6.98544655617e-73	7.61559422967e-144	2.51469473141e-242	0.0
0.05851	2.19385812511e-16	2.19385812306e-16	2.04612778609e-25	7.75167589785e-73	8.80588705282e-144	3.03470750607e-242	0.0
0.05901	2.39644792948e-16	2.3964479273e-16	2.17914995055e-25	8.60168081921e-73	1.01818972561e-143	3.66213787373e-242	0.0
0.05951	2.61750501905e-16	2.61750501673e-16	2.32074681622e-25	9.5445910473e-73	1.17725513878e-143	4.41915085968e-242	0.0
0.06001	2.85869035939e-16	2.85869035692e-16	2.4714663166e-25	1.05905279792e-72	1.36112736148e-143	5.33248017401e-242	0.0
0.06051	3.12181223841e-16	3.12181223578e-16	2.63189108723e-25	1.17507120398e-72	1.5736683805e-143	6.43436889406e-242	0.0
0.06101	3.40883914554e-16	3.40883914274e-16	2.80264064351e-25	1.30375816228e-72	1.81934037707e-143	7.76370362084e-242	0.0
0.06151	3.72191375981e-16	3.72191375682e-16	2.98437369371e-25	1.4464924861e-72	2.10329883998e-143	9.36738185858e-242	0.0
0.06201	4.06336814111e-16	4.06336813793e-16	3.17779059587e-25	1.60480256048e-72	2.43150009868e-143	1.13019605241e-241	0.0
0.06251	4.43574022628e-16	4.43574022289e-16	3.38363596712e-25	1.78038251363e-72	2.81082550558e-143	1.36356433227e-241	0.0
0.06301	4.84179174043e-16	4.84179173683e-16	3.60270145503e-25	1.97511013074e-72	3.24922484067e-143	1.64506765716e-241	0.0
0.06351	5.28452764304e-16	5.2845276392e-16	3.83582868081e-25	2.19106669765e-72	3.75588190869e-143	1.98462373238e-241	0.0
0.06401	5.76721723811e-16	5.76721723403e-16	4.08391236503e-25	2.43055898118e-72	4.34140575724e-143	2.39419148414e-241	0.0
0.06451	6.29341708876e-16	6.29341708441e-16	4.34790364688e-25	2.69614357574e-72	5.01805147267e-143	2.88819071857e-241	0.0
0.06501	6.86699588778e-16	6.86699588315e-16	4.62881360909e-25	2.99065386985e-72	5.79997512092e-143	3.48400796524e-241	0.0
0.06551	7.49216144871e-16	7.49216144378e-16	4.92771702093e-25	3.3172299137e-72	6.70352810413e-143	4.20260618558e-241	0.0
0.06601	8.17348999511e-16	8.17348998987e-16	5.24575631273e-25	3.6793514987e-72	7.74759701636e-143	5.06925964917e-241	0.0
0.06651	8.91595794083e-16	8.91595793525e-16	5.58414579609e-25	4.08087479325e-72	8.95399601858e-143	6.11443964598e-241	0.0
0.06701	9.72497636947e-16	9.72497636352e-16	5.9441761448e-25	4.52607291589e-72	1.03479198348e-142	7.37488196017e-241	0.0
0.06751	1.06064284389e-15	1.06064284325e-15	6.32721915253e-25	5.01968086727e-72	1.19584667181e-142	8.89487336482e-241	0.0
0.06801	1.15667099546e-15	1.15667099478e-15	6.73473278401e-25	5.56694528799e-72	1.38192421756e-142	1.07278020266e-240	0.0
0.06851	1.26127733764e-15	1.26127733693e-15	7.1682665378e-25	6.17367955845e-72	1.59690559007e-142	1.29380258988e-240	0.0
0.06901	1.37521755444e-15	1.37521755367e-15	7.62946713965e-25	6.84632481265e-72	1.84527262773e-142	1.5603124252e-240	0.0
0.06951	1.49931294321e-15	1.4993129424e-15	8.12008458657e-25	7.59201749832e-72	2.13220090301e-142	1.88166108216e-240	0.0
