# time	signal	one_signal	two_signal
-8.039937559412731488e-07 7.920004427433013916e-04 -3.214055155277973345e-05 -7.186503116385932362e-06
-8.019937559978370117e-07 1.800023019313812256e-04 -3.839550598035174772e-05 -5.428075344862149192e-06
-7.999937560544008747e-07 -1.439973711967468262e-04 -4.408587035199242418e-05 -4.870986733116117713e-06
-7.979937561109647376e-07 -5.399994552135467529e-04 -4.936337065767865091e-05 -1.459960036145191906e-06
-7.959937561675286005e-07 -7.199980318546295166e-04 -5.241455245675456819e-05 1.245187340896987120e-06
-7.939937562240924634e-07 -9.719990193843841553e-04 -5.216625209683157762e-05 3.088673118092432329e-06
-7.919937562806563264e-07 -1.008000224828720093e-03 -5.161611680367275381e-05 5.677834309520258569e-06
-7.899937563372201893e-07 -9.000003337860107422e-04 -5.279453629536161107e-05 7.810681842680665952e-06
-7.879937563937840522e-07 -5.760006606578826904e-04 -5.399581667969434408e-05 1.224211245734992778e-05
-7.859937564503479151e-07 -2.879984676837921143e-04 -5.276393301021642526e-05 1.377450744025944608e-05
-7.839937565069117781e-07 7.200241088867187500e-05 -4.964363775876725021e-05 1.421766840408433018e-05
-7.819937565634756410e-07 3.600008785724639893e-04 -4.648509408027322104e-05 1.575664927279734690e-05
-7.799937566200395039e-07 4.680007696151733398e-04 -4.439986558608924783e-05 1.607767334591708131e-05
-7.779937566766033669e-07 5.760006606578826904e-04 -4.274162736662499553e-05 1.611783055863643532e-05
-7.759937567331672298e-07 6.840005517005920410e-04 -4.198618622429924025e-05 1.486013963375192165e-05
-7.739937567897310927e-07 5.040019750595092773e-04 -4.262844056586740374e-05 1.780826507055890278e-05
-7.719937568462949556e-07 5.040019750595092773e-04 -4.688328595763238156e-05 1.853055719861384821e-05
-7.699937569028588186e-07 4.319995641708374023e-04 -5.133778836575009598e-05 1.948919499755797624e-05
-7.679937569594226815e-07 2.159997820854187012e-04 -5.433294085845700148e-05 2.184634378881841125e-05
-7.659937570159865444e-07 1.440010964870452881e-04 -5.783861223967210423e-05 2.351575840911802941e-05
-7.639937570725504073e-07 2.520009875297546387e-04 -6.044102659235002560e-05 2.555925874264594464e-05
-7.619937571291142703e-07 0.000000000000000000e+00 -6.226581661365102299e-05 2.333773920107358216e-05
-7.599937571856781332e-07 2.880021929740905762e-04 -6.313303318440770262e-05 2.003640918855833109e-05
-7.579937572422419961e-07 4.680007696151733398e-04 -6.552976375617348764e-05 1.581724259029777577e-05
-7.559937572988058590e-07 5.040019750595092773e-04 -6.988972325416740680e-05 1.204830780234022819e-05
-7.539937573553697220e-07 6.840005517005920410e-04 -7.490228236187779817e-05 8.236825616375991385e-06
-7.519937574119335849e-07 1.044001430273056030e-03 -7.877243667081171687e-05 4.651687835951920078e-06
-7.499937574684974478e-07 1.188002526760101318e-03 -8.316347210745287950e-05 3.592871381023822581e-06
-7.479937575250613108e-07 1.655999571084976196e-03 -8.808527329707073244e-05 3.438760043776155361e-06
-7.459937575816251737e-07 1.655999571084976196e-03 -8.939928586409357522e-05 -1.071226700064983823e-06
-7.439937576381890366e-07 2.088002860546112061e-03 -8.577887122177568920e-05 -5.890066864867838426e-06
-7.419937576947528995e-07 2.160001546144485474e-03 -8.195020414818250296e-05 -7.309970499592196441e-06
-7.399937577513167625e-07 2.304002642631530762e-03 -7.759267643032544722e-05 -9.403234012822996008e-06
-7.379937578078806254e-07 2.232000231742858887e-03 -7.006620562473554411e-05 -9.477938657318016262e-06
-7.359937578644444883e-07 2.232000231742858887e-03 -6.021933529105089885e-05 -1.119353554505661752e-05
-7.339937579210083512e-07 2.088002860546112061e-03 -5.035325516806596135e-05 -1.073011346315812179e-05
-7.319937579775722142e-07 2.232000231742858887e-03 -4.373333351995519348e-05 -9.852156619356638732e-06
-7.299937580341360771e-07 1.980002969503402710e-03 -3.646247736389653061e-05 -1.056060970986948495e-05
-7.279937580906999400e-07 1.871999353170394897e-03 -2.833754116393648776e-05 -1.153358497628999414e-05
-7.259937581472638029e-07 1.692000776529312134e-03 -2.041351095781918602e-05 -9.470736447017598364e-06
-7.239937582038276659e-07 1.728001981973648071e-03 -1.309344106830982366e-05 -1.088004349152515907e-05
-7.219937582603915288e-07 1.728001981973648071e-03 -6.958514713792378849e-06 -1.227811925632645136e-05
-7.199937583169553917e-07 1.728001981973648071e-03 -3.412491809270880902e-06 -1.439483060282623878e-05
-7.179937583735192547e-07 1.980002969503402710e-03 -2.917314244751391074e-06 -1.746633953590384674e-05
-7.159937584300831176e-07 2.196002751588821411e-03 -4.319174531413344582e-06 -2.144555214203095774e-05
-7.139937584866469805e-07 2.376001328229904175e-03 -6.485438110398491895e-06 -2.779719914311681387e-05
-7.119937585432108434e-07 2.879999577999114990e-03 -9.080726134336080098e-06 -3.447106357062342468e-05
-7.099937585997747064e-07 3.024000674486160278e-03 -1.260433031944069276e-05 -3.857073040999054527e-05
-7.079937586563385693e-07 3.348000347614288330e-03 -1.850042745817784157e-05 -3.931516641416516172e-05
-7.059937587129024322e-07 3.312002867460250854e-03 -2.514264019596180915e-05 -4.260131399012712610e-05
-7.039937587694662951e-07 3.312002867460250854e-03 -2.885649637720469278e-05 -4.601380229839312778e-05
-7.019937588260301581e-07 3.240000456571578979e-03 -3.146876449496508593e-05 -4.764043456665101328e-05
-6.999937588825940210e-07 2.916000783443450928e-03 -3.449189613743281342e-05 -4.694450613270814227e-05
-6.979937589391578839e-07 2.448000013828277588e-03 -3.490186219419677869e-05 -4.558391688096130546e-05
-6.959937589957217469e-07 2.376001328229904175e-03 -3.257817563388944312e-05 -4.190902010730814035e-05
-6.939937590522856098e-07 2.124000340700149536e-03 -3.047792956299417137e-05 -3.956133217128929064e-05
-6.919937591088494727e-07 2.160001546144485474e-03 -2.722374463988602077e-05 -3.550077861991690246e-05
-6.899937591654133356e-07 2.052001655101776123e-03 -2.344503863686950469e-05 -3.101689452594679375e-05
-6.879937592219771986e-07 2.124000340700149536e-03 -1.954928538206220852e-05 -2.746605687664720874e-05
-6.859937592785410615e-07 2.016000449657440186e-03 -1.627965974304665663e-05 -2.234187799693573988e-05
-6.839937593351049244e-07 2.304002642631530762e-03 -1.531844567286145392e-05 -1.968130162567468990e-05
-6.819937593916687873e-07 2.052001655101776123e-03 -1.205822341934497063e-05 -1.827419685384194461e-05
-6.799937594482326503e-07 2.232000231742858887e-03 -7.523146973490144140e-06 -1.799644441304659723e-05
-6.779937595047965132e-07 2.160001546144485474e-03 -8.755921565420880166e-06 -1.676557611374885601e-05
-6.759937595613603761e-07 2.196002751588821411e-03 -1.005174178022343986e-05 -1.896619014970678244e-05
-6.739937596179242390e-07 1.944001764059066772e-03 -8.296015459034802175e-06 -2.329985883430651312e-05
-6.719937596744881020e-07 2.052001655101776123e-03 -7.065495752823449215e-06 -2.718637867677233609e-05
-6.699937597310519649e-07 2.016000449657440186e-03 -7.557963222421509102e-06 -3.264785563485784130e-05
-6.679937597876158278e-07 2.088002860546112061e-03 -1.069114045646598016e-05 -3.635377592616138528e-05
-6.659937598441796908e-07 2.088002860546112061e-03 -1.310328284226334486e-05 -3.802957371101669344e-05
-6.639937599007435537e-07 1.836001873016357422e-03 -1.449773942283679251e-05 -3.886785891076886915e-05
-6.619937599573074166e-07 1.836001873016357422e-03 -1.990912658043734340e-05 -4.045556624515682696e-05
-6.599937600138712795e-07 1.404002308845520020e-03 -2.496656579733742942e-05 -3.948867957531382691e-05
-6.579937600704351425e-07 1.296002417802810669e-03 -2.776118452419359069e-05 -3.858203658293849896e-05
-6.559937601269990054e-07 1.188002526760101318e-03 -3.126713366783847312e-05 -3.551847562016547272e-05
-6.539937601835628683e-07 1.188002526760101318e-03 -3.601490687289631508e-05 -3.051053532042466733e-05
-6.519937602401267312e-07 1.260001212358474731e-03 -4.077964836805882403e-05 -2.695378299785131408e-05
-6.499937602966905942e-07 1.620002090930938721e-03 -4.462472286100573152e-05 -2.184251164367834091e-05
-6.479937603532544571e-07 1.800000667572021484e-03 -4.454534806709042351e-05 -1.657262077586213133e-05
-6.459937604098183200e-07 1.980002969503402710e-03 -4.257991553542639520e-05 -1.116324571392923096e-05
-6.439937604663821829e-07 2.484001219272613525e-03 -3.941507208449190056e-05 -5.772910260892117738e-06
-6.419937605229460459e-07 2.520002424716949463e-03 -3.485260149988894359e-05 -4.358968971322105661e-07
-6.399937605795099088e-07 2.700001001358032227e-03 -3.134039692785843507e-05 1.031674852156952079e-06
-6.379937606360737717e-07 2.916000783443450928e-03 -2.926427841135051923e-05 2.344471961123512646e-06
-6.359937606926376347e-07 3.312002867460250854e-03 -2.848706841758764908e-05 1.691354218587517685e-06
-6.339937607492014976e-07 3.276001662015914917e-03 -2.851794970216237223e-05 3.054993562248937284e-07
-6.319937608057653605e-07 3.312002867460250854e-03 -2.958814847032910147e-05 -6.392662177527653377e-06
-6.299937608623292234e-07 3.420002758502960205e-03 -3.199881623506914570e-05 -1.070470787529719173e-05
-6.279937609188930864e-07 3.636002540588378906e-03 -3.490458860695206154e-05 -1.543788185818902649e-05
-6.259937609754569493e-07 3.744002431631088257e-03 -3.830402116947528244e-05 -2.238052331034835873e-05
-6.239937610320208122e-07 3.779999911785125732e-03 -4.173429224811641726e-05 -2.836223417898644462e-05
-6.219937610885846751e-07 3.779999911785125732e-03 -4.809953145356809872e-05 -3.370526116504217153e-05
-6.199937611451485381e-07 3.852002322673797607e-03 -5.431039711354958391e-05 -3.840920860714214420e-05
-6.179937612017124010e-07 3.887999802827835083e-03 -5.697896932459289805e-05 -4.297259468456683001e-05
-6.159937612582762639e-07 3.887999802827835083e-03 -5.794666290921059480e-05 -4.487354047595217628e-05
-6.139937613148401269e-07 3.995999693870544434e-03 -5.825446444862554312e-05 -4.445468657738468562e-05
-6.119937613714039898e-07 3.887999802827835083e-03 -5.904491552138708065e-05 -4.411781274721911922e-05
-6.099937614279678527e-07 3.816001117229461670e-03 -5.876193314799628084e-05 -4.548818826046762179e-05
-6.079937614845317156e-07 3.744002431631088257e-03 -5.910878370437171360e-05 -4.613211319670413088e-05
-6.059937615410955786e-07 3.492001444101333618e-03 -6.024555324932979544e-05 -4.477771076186641081e-05
-6.039937615976594415e-07 3.420002758502960205e-03 -5.996807698643775205e-05 -4.188064091009974373e-05
-6.019937616542233044e-07 3.204002976417541504e-03 -5.969357380614877430e-05 -3.941569823043181397e-05
-5.999937617107871673e-07 3.095999360084533691e-03 -5.675301023409492688e-05 -3.769473053023276435e-05
-5.979937617673510303e-07 2.987999469041824341e-03 -5.001719899836783872e-05 -3.633592084936986395e-05
-5.959937618239148932e-07 2.844002097845077515e-03 -4.245971423378722701e-05 -3.589134237423754819e-05
-5.939937618804787561e-07 2.340000122785568237e-03 -3.411327824998881543e-05 -3.663363948274527389e-05
-5.919937619370426190e-07 2.160001546144485474e-03 -2.439455916500858740e-05 -4.112159156666361006e-05
-5.899937619936064820e-07 2.016000449657440186e-03 -1.295132550272460403e-05 -4.407491998376845857e-05
-5.879937620501703449e-07 2.016000449657440186e-03 9.137954509289817196e-08 -4.712597542699635675e-05
-5.859937621067342078e-07 1.728001981973648071e-03 1.231185801811441105e-05 -4.974575498276440170e-05
-5.839937621632980708e-07 1.692000776529312134e-03 2.254820473082070416e-05 -5.211106380433793507e-05
-5.819937622198619337e-07 1.512002199888229370e-03 2.924866649653678894e-05 -5.329244330397023044e-05
-5.799937622764257966e-07 1.547999680042266846e-03 3.240597754456179641e-05 -5.415995735948737498e-05
-5.779937623329896595e-07 1.224000006914138794e-03 3.452582661421404103e-05 -5.652140944754287683e-05
-5.759937623895535225e-07 1.080002635717391968e-03 3.391377716747285816e-05 -6.048811928361054393e-05
-5.739937624461173854e-07 1.008000224828720093e-03 3.209592392270743492e-05 -6.470739082016187986e-05
-5.719937625026812483e-07 6.479993462562561035e-04 3.021628625838875147e-05 -6.775221252205865133e-05
-5.699937625592451112e-07 1.440010964870452881e-04 2.700500440988553230e-05 -7.194186556852701737e-05
-5.679937626158089742e-07 -3.599748015403747559e-05 2.603101939773712136e-05 -7.583699588140300194e-05
-5.659937626723728371e-07 -1.079998910427093506e-04 2.453508975249997563e-05 -7.623930901591768536e-05
-5.639937627289367000e-07 -3.959983587265014648e-04 2.168702546994983989e-05 -7.247336246040792884e-05
-5.619937627855005629e-07 -4.319995641708374023e-04 2.173417313571572744e-05 -6.985964827132671218e-05
-5.599937628420644259e-07 -4.680007696151733398e-04 1.996797240953938237e-05 -6.527146006639400401e-05
-5.579937628986282888e-07 -5.039982497692108154e-04 1.563234550007302156e-05 -5.883569064885286792e-05
-5.559937629551921517e-07 -4.680007696151733398e-04 1.311934779406670327e-05 -4.973960124674093133e-05
-5.539937630117560147e-07 -6.119981408119201660e-04 1.110110989865888111e-05 -4.202759101690111874e-05
-5.519937630683198776e-07 -6.119981408119201660e-04 1.063425822623390207e-05 -3.654314343240623700e-05
-5.499937631248837405e-07 -6.840005517005920410e-04 9.976447664678661430e-06 -2.994887506353396825e-05
-5.479937631814476034e-07 -7.559992372989654541e-04 9.409689577872999247e-06 -2.315914629437367569e-05
-5.459937632380114664e-07 -9.719990193843841553e-04 9.554387211443481716e-06 -1.627598330883557313e-05
-5.439937632945753293e-07 -1.043997704982757568e-03 9.340986745921813780e-06 -1.031194651597867263e-05
-5.419937633511391922e-07 -1.295998692512512207e-03 6.624603699020112836e-06 -5.098757187740765058e-06
-5.399937634077030551e-07 -1.511998474597930908e-03 3.421363684514194688e-06 -2.791613557129082349e-06
-5.379937634642669181e-07 -1.800000667572021484e-03 2.504232610536530167e-06 -2.483971276169325113e-06
-5.359937635208307810e-07 -2.303998917341232300e-03 5.680141635071524721e-06 -4.113770134783069869e-06
-5.339937635773946439e-07 -2.375997602939605713e-03 8.273810890945258907e-06 -5.726373302166703560e-06
-5.319937636339585069e-07 -2.555999904870986938e-03 7.829558357946293345e-06 -8.327713337047208856e-06
-5.299937636905223698e-07 -2.699997276067733765e-03 6.543628930642016280e-06 -1.120101716223688736e-05
-5.279937637470862327e-07 -2.699997276067733765e-03 5.919012859542741180e-06 -1.708565944370636714e-05
-5.259937638036500956e-07 -2.699997276067733765e-03 8.266066926860538068e-06 -2.207617370917035261e-05
-5.239937638602139586e-07 -2.699997276067733765e-03 9.612239275740590885e-06 -2.513218321222456897e-05
-5.219937639167778215e-07 -2.555999904870986938e-03 9.682965997704094107e-06 -2.717051553387528283e-05
-5.199937639733416844e-07 -2.663999795913696289e-03 9.515877900380715588e-06 -3.008457660205487541e-05
-5.179937640299055473e-07 -2.699997276067733765e-03 1.101821512044291821e-05 -2.931582325527403712e-05
-5.159937640864694103e-07 -2.627998590469360352e-03 1.312110263811029647e-05 -2.773056770490960903e-05
-5.139937641430332732e-07 -2.807997167110443115e-03 1.330778973161694577e-05 -2.556964087681587864e-05
-5.119937641995971361e-07 -2.591997385025024414e-03 1.544458598278112413e-05 -2.284211178871829940e-05
-5.099937642561609990e-07 -2.771999686956405640e-03 1.740289994024579208e-05 -1.939961681047530019e-05
-5.079937643127248620e-07 -2.916000783443450928e-03 1.787952892131517912e-05 -1.626262374684417115e-05
-5.059937643692887249e-07 -2.879999577999114990e-03 1.700009491819449959e-05 -1.344305329072720643e-05
-5.039937644258525878e-07 -2.807997167110443115e-03 1.891558603255375705e-05 -1.332354859972585409e-05
-5.019937644824164508e-07 -2.771999686956405640e-03 1.981951159607021974e-05 -9.109030777828453802e-06
-4.999937645389803137e-07 -2.519998699426651001e-03 1.820080183039712499e-05 -6.391377763032174791e-06
-4.979937645955441766e-07 -2.411998808383941650e-03 1.805210910694496449e-05 -7.889531405318900189e-06
-4.959937646521080395e-07 -2.232000231742858887e-03 1.955282240257990328e-05 -8.538734803242094108e-06
-4.939937647086719025e-07 -2.051997929811477661e-03 2.125952970806956014e-05 -6.636518131658201908e-06
-4.919937647652357654e-07 -2.016000449657440186e-03 2.067149866549070812e-05 -6.169237658049941241e-06
-4.899937648217996283e-07 -2.124000340700149536e-03 1.897256760501446346e-05 -6.467005264236483674e-06
-4.879937648783634912e-07 -2.195999026298522949e-03 1.880836440676543069e-05 -1.005125527435107819e-05
-4.859937649349273542e-07 -2.340000122785568237e-03 1.607173113726273817e-05 -1.092965721374888835e-05
-4.839937649914912171e-07 -2.195999026298522949e-03 1.029918247826319492e-05 -1.309483205752089064e-05
-4.819937650480550800e-07 -2.303998917341232300e-03 5.877022857166341204e-06 -1.785253941765106077e-05
-4.799937651046189430e-07 -2.303998917341232300e-03 5.054710778532534690e-06 -2.193122172687565039e-05
-4.779937651611828059e-07 -2.159997820854187012e-03 5.330144066933417160e-06 -2.392060825761162802e-05
-4.759937652177466688e-07 -2.087999135255813599e-03 3.003109554672193303e-06 -2.755538063954236983e-05
-4.739937652743105317e-07 -2.340000122785568237e-03 7.653454044985776333e-07 -3.129330940849412611e-05
-4.719937653308743947e-07 -2.448000013828277588e-03 2.674960494928525998e-08 -3.571624921131846684e-05
-4.699937653874382576e-07 -2.627998590469360352e-03 -2.622269401505461550e-06 -3.835866436336024527e-05
-4.679937654440021205e-07 -2.771999686956405640e-03 -8.131138671256507146e-06 -3.783378597908006012e-05
-4.659937655005659834e-07 -2.916000783443450928e-03 -1.209669277796621821e-05 -3.609194070040340095e-05
-4.639937655571298464e-07 -3.024000674486160278e-03 -1.303675038343764283e-05 -3.310121533301945508e-05
-4.619937656136937093e-07 -3.059998154640197754e-03 -1.324853959446698084e-05 -2.909761999188786256e-05
-4.599937656702575722e-07 -2.879999577999114990e-03 -1.489378700199672674e-05 -2.651340859686443055e-05
-4.579937657268214351e-07 -3.024000674486160278e-03 -1.627518956501481439e-05 -2.470988395181750142e-05
-4.559937657833852981e-07 -3.024000674486160278e-03 -1.754784359183426243e-05 -2.445662988382772468e-05
-4.539937658399491610e-07 -3.348000347614288330e-03 -1.852810651091107945e-05 -2.427816161778244744e-05
-4.519937658965130239e-07 -3.311999142169952393e-03 -1.896305877279929811e-05 -2.571744066954096233e-05
-4.499937659530768869e-07 -3.672000020742416382e-03 -2.055959607479888548e-05 -2.760781136279531449e-05
-4.479937660096407498e-07 -3.743998706340789795e-03 -2.129156484332860394e-05 -3.042002803241689623e-05
-4.459937660662046127e-07 -4.031997174024581909e-03 -2.194853623997031591e-05 -3.311846458310839031e-05
-4.439937661227684756e-07 -4.211999475955963135e-03 -2.277268344282165199e-05 -3.628307869466564333e-05
-4.419937661793323386e-07 -4.283998161554336548e-03 -2.284156221571538605e-05 -4.233502535998113749e-05
-4.399937662358962015e-07 -4.031997174024581909e-03 -2.176502990016558777e-05 -4.694407910299711176e-05
-4.379937662924600644e-07 -3.779999911785125732e-03 -2.176101147725624242e-05 -4.894032019698724704e-05
