# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-1.638789203893952848e-06 -7.837551518406488180e-07 7.589656525875868587e-01 8.733315842087343572e-01
-4.820065112737849016e-06 2.517934679729337906e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.759353009574047152e-07 2.189935266623139919e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.230064551806860086e-06 -1.180646681021622638e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.626058820997792377e-06 -1.150058862741923217e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.133936451723516530e-06 2.409936415635771983e-06 1.000000000000000000e+00 1.000000000000000000e+00
2.017306690135561337e-06 2.593576344922043843e-06 8.734421524648593449e-01 9.874743402951817739e-01
2.247476309566671828e-06 1.751619918143618808e-06 1.008472742912495113e+00 1.040034562200720547e+00
-3.576066303155228742e-06 3.115933507582085904e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.668064595983237032e-06 -8.400646476826077472e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.612067513935599122e-06 9.839324126445067985e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.931227921323530957e-06 -4.201505468071598277e-06 7.098949793492520532e-01 1.096656414003384761e+00
-2.022062881401379279e-06 2.641936986691692376e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.600060498021245994e-06 2.289939307116246223e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.120731415318741156e-07 1.977967465215353454e-06 1.012981025916371625e+00 1.032599098073882171e+00
-2.500594658129908738e-07 2.363940460258040281e-06 1.000000000000000000e+00 1.000000000000000000e+00
3.699358957135836750e-07 2.461935836547783054e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.037932411117282499e-06 3.589932338941793405e-06 1.000000000000000000e+00 1.000000000000000000e+00
-5.988644893033953783e-07 -5.989670418672025842e-07 1.125871898537117000e+00 8.054072918228200040e-01
-4.722065693126806792e-06 1.837934121343722808e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.718061706482497147e-06 8.519381925510075286e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.252067467553231522e-06 -3.606755850792310879e-08 1.000000000000000000e+00 1.000000000000000000e+00
1.195630062720471223e-06 1.331370064079227343e-06 8.810794079781046895e-01 9.793450109378080137e-01
-2.646061708518796212e-06 -6.806178142961552503e-08 1.000000000000000000e+00 1.000000000000000000e+00
-3.888065139096609140e-06 1.459934709651621394e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.507742086594017899e-06 -4.506254874794490593e-06 8.058508877724934738e-01 1.002247366737438306e+00
-3.402062842372313859e-06 1.053937031603399540e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.560876693996369097e-06 -9.722315921847885183e-07 1.159104182969429298e+00 6.479213003375497992e-01
2.187258123439269573e-07 8.467296766752542967e-07 6.902219333170549476e-01 9.393705457673285908e-01
-2.954733745820751813e-06 -2.295176808816298149e-06 8.902088146122836276e-01 5.788157196181789033e-01
-1.414060588127479636e-06 2.443939302760828778e-06 1.000000000000000000e+00 1.000000000000000000e+00
3.029995879427111791e-07 -2.846230604751820419e-07 5.451544210075135455e-01 1.245103071440115894e+00
-2.410063448045318364e-06 1.013936455117348306e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.267093236376485749e-06 -8.095407062182190881e-07 7.510327330559050107e-01 7.980578960589788107e-01
9.879370334700070166e-07 2.415936993083408887e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.846059364111164484e-06 -1.220594694330772540e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.568061076543596294e-06 8.679387697158242712e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.880058264478784755e-06 5.899416656648445300e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.958898937277368576e-06 2.923230709216964243e-06 1.021871370175419624e+00 6.214630137180049418e-01
-8.300629151134415829e-07 2.819370534370506298e-07 1.000000000000000000e+00 1.000000000000000000e+00
-5.000055613235387513e-06 -1.633419608021156427e-06 1.465361187265435294e+00 1.068331375881799383e+00
-3.466059952475626933e-06 2.887939867820980548e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.886062251066529691e-06 -8.806235848130538875e-08 1.000000000000000000e+00 1.000000000000000000e+00
-4.388062236869000096e-06 1.999376333734983498e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.860600367557835414e-07 3.279939856734462567e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.564054722866109750e-06 1.535945104614108324e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.616062258702652033e-06 -2.662062285683614649e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.140066315486150860e-06 -7.860663820618175252e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.434062813185360589e-06 -3.060629299331736697e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.740065143282334996e-06 -1.854065196622057736e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.154063976338958384e-06 1.289935869694206729e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.788059971650777313e-06 7.193994746289870203e-08 1.000000000000000000e+00 1.000000000000000000e+00
-4.759685479595178273e-07 7.968125138990017105e-07 9.426745401520957301e-01 9.483870871162204397e-01
-2.007604210407877151e-06 7.668999160766421132e-07 7.529729259079567250e-01 7.684908251619110287e-01
