# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-1.142406888232912737e-06 -7.563419727436742432e-07 8.899623276682874229e-01 1.186833424314953422e+00
-9.840571345847383606e-07 1.501942795106380021e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.420594632110523321e-07 3.279940434351791907e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.839640148729668059e-06 -2.625611639581153838e-06 1.090625558023907926e+00 1.011766099473896174e+00
-4.084059934997394136e-06 2.061939891181855090e-06 1.000000000000000000e+00 1.000000000000000000e+00
-7.740600286105872799e-07 1.241939914373038890e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.214102113660937059e-06 -2.098240419546714727e-06 6.367191571549069007e-01 1.011720288237585530e+00
-1.002057711692992087e-06 3.519422500132727113e-07 1.000000000000000000e+00 1.000000000000000000e+00
-8.500640697824599396e-07 9.935905895079001832e-09 1.000000000000000000e+00 1.000000000000000000e+00
-3.954063981995344677e-06 2.077935847408044735e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.442057093349682287e-06 1.033942808342323946e-06 1.000000000000000000e+00 1.000000000000000000e+00
-5.000039990798882507e-06 3.179186339192374188e-07 1.465223965018008556e+00 7.262959168101718044e-01
1.134530507189514141e-07 6.681764487381221103e-07 8.920529034493194231e-01 7.959376285395396433e-01
2.100406785409043126e-08 9.048350764936358462e-07 1.057905045526105203e+00 9.805720543778229104e-01
-2.606698117341393043e-08 2.435932949196470807e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.742058211817829217e-06 -3.120583088248541370e-07 1.000000000000000000e+00 1.000000000000000000e+00
1.026817898200654459e-06 2.120860540501631017e-06 1.098556285261869769e+00 8.880772257516525992e-01
-2.192063454210779423e-06 6.439364655816629470e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.492061106974954548e-06 1.417938754160761966e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.106059385039794614e-06 1.779405220823424599e-07 1.000000000000000000e+00 1.000000000000000000e+00
